model,register,rarity,layer,auroc,ci_lo,ci_hi,n
gemma-2-2b-it,textbook,common,1,0.6863965595291988,0.6162205749207786,0.747631846989588,188.0
gemma-2-2b-it,textbook,rare,1,0.625,0.25,1.0,8.0
gemma-2-2b-it,patient,common,1,0.6496751600048303,0.6244192730346576,0.6750896027049874,910.0
gemma-2-2b-it,patient,rare,1,0.6184210526315789,0.5366862880886427,0.7036357340720222,76.0
gemma-2-2b-it,clinical_note,common,1,0.5501171356116412,0.5282595097210482,0.5755879724670934,910.0
gemma-2-2b-it,clinical_note,rare,1,0.5214681440443214,0.4397506925207756,0.599047783933518,76.0
gemma-2-2b-it,colloquial,common,1,0.5639657046250454,0.5364631083202512,0.5904871392343921,910.0
gemma-2-2b-it,colloquial,rare,1,0.6502770083102493,0.551904432132964,0.7507271468144044,76.0
gemma-2-2b-it,textbook,common,3,0.7201222272521502,0.656046287913083,0.7767145767315526,188.0
gemma-2-2b-it,textbook,rare,3,0.8125,0.4375,1.0,8.0
gemma-2-2b-it,patient,common,3,0.6372128969931168,0.6128172925975125,0.6609449341866924,910.0
gemma-2-2b-it,patient,rare,3,0.5325484764542936,0.4445463988919667,0.6149757617728531,76.0
gemma-2-2b-it,clinical_note,common,3,0.5482477961598842,0.527156865112909,0.569079459002536,910.0
gemma-2-2b-it,clinical_note,rare,3,0.5443213296398892,0.46398891966759,0.6267486149584487,76.0
gemma-2-2b-it,colloquial,common,3,0.5301098901098901,0.5068928873324478,0.5525196232339089,910.0
gemma-2-2b-it,colloquial,rare,3,0.5470914127423823,0.481994459833795,0.6135734072022161,76.0
gemma-2-2b-it,textbook,common,5,0.7118605703938433,0.6320224083295609,0.7875820507016749,188.0
gemma-2-2b-it,textbook,rare,5,0.6875,0.6875,1.0,8.0
gemma-2-2b-it,patient,common,5,0.626233546673107,0.6026196111580727,0.6488974761502234,910.0
gemma-2-2b-it,patient,rare,5,0.5810249307479225,0.4819771468144044,0.6849203601108034,76.0
gemma-2-2b-it,clinical_note,common,5,0.525185364086463,0.5028664412510566,0.5460926216640501,910.0
gemma-2-2b-it,clinical_note,rare,5,0.5138504155124654,0.4307306094182826,0.5949272853185595,76.0
gemma-2-2b-it,colloquial,common,5,0.5666851829489191,0.5385629754860524,0.5928939741577105,910.0
gemma-2-2b-it,colloquial,rare,5,0.6599722991689752,0.5678497229916897,0.7617728531855955,76.0
gemma-2-2b-it,textbook,common,7,0.6903576278859213,0.6124717066545948,0.7547589406971479,188.0
gemma-2-2b-it,textbook,rare,7,0.75,0.25,1.0,8.0
gemma-2-2b-it,patient,common,7,0.6141577104214466,0.591170631566236,0.6380888781548122,910.0
gemma-2-2b-it,patient,rare,7,0.6537396121883656,0.5740997229916898,0.7403047091412742,76.0
gemma-2-2b-it,clinical_note,common,7,0.5324042989977056,0.5125502958579881,0.5512761139958943,910.0
gemma-2-2b-it,clinical_note,rare,7,0.5290858725761773,0.4473337950138504,0.6122056786703601,76.0
gemma-2-2b-it,colloquial,common,7,0.5454848448255042,0.5199852674797729,0.5723867890351407,910.0
gemma-2-2b-it,colloquial,rare,7,0.5207756232686981,0.4404259002770083,0.6045879501385042,76.0
gemma-2-2b-it,textbook,common,9,0.6952240832956088,0.6317309868718877,0.7539808736985061,188.0
gemma-2-2b-it,textbook,rare,9,0.8125,0.75,1.0,8.0
gemma-2-2b-it,patient,common,9,0.6949064122690496,0.6740496316869944,0.7197937447168217,910.0
gemma-2-2b-it,patient,rare,9,0.6592797783933517,0.5775623268698061,0.7500692520775623,76.0
gemma-2-2b-it,clinical_note,common,9,0.5369254920903272,0.5133429537495472,0.5593855814515156,910.0
gemma-2-2b-it,clinical_note,rare,9,0.5055401662049861,0.4154951523545707,0.5872749307479224,76.0
gemma-2-2b-it,colloquial,common,9,0.629687235841082,0.6055443786982249,0.6552467093346215,910.0
gemma-2-2b-it,colloquial,rare,9,0.6655124653739611,0.5865650969529086,0.7617901662049862,76.0
gemma-2-2b-it,textbook,common,11,0.6846989588048891,0.6175871435038479,0.7458182435491173,188.0
gemma-2-2b-it,textbook,rare,11,0.5,0.1875,0.75,8.0
gemma-2-2b-it,patient,common,11,0.6927955560922594,0.6672812462263013,0.7184085255403937,910.0
gemma-2-2b-it,patient,rare,11,0.6835180055401662,0.6121883656509696,0.7610976454293629,76.0
gemma-2-2b-it,clinical_note,common,11,0.5793937930201666,0.55672696534235,0.6029559231976814,910.0
gemma-2-2b-it,clinical_note,rare,11,0.6059556786703602,0.5145083102493074,0.6939404432132964,76.0
gemma-2-2b-it,colloquial,common,11,0.5847602946504046,0.557188383045526,0.6111287284144428,910.0
gemma-2-2b-it,colloquial,rare,11,0.685595567867036,0.5892659279778393,0.7742382271468143,76.0
gemma-2-2b-it,textbook,common,13,0.6994114984155726,0.6341896785875963,0.761798325033952,188.0
gemma-2-2b-it,textbook,rare,13,0.75,0.6875,1.0,8.0
gemma-2-2b-it,patient,common,13,0.7300712474338849,0.7047252747252747,0.7545079096727448,910.0
gemma-2-2b-it,patient,rare,13,0.6980609418282548,0.6135734072022161,0.7894736842105263,76.0
gemma-2-2b-it,clinical_note,common,13,0.6376862697741819,0.6146214225335105,0.6621225697379542,910.0
gemma-2-2b-it,clinical_note,rare,13,0.6301939058171746,0.5526142659279778,0.7167590027700831,76.0
gemma-2-2b-it,colloquial,common,13,0.6526506460572394,0.6249654631083204,0.6786572877671779,910.0
gemma-2-2b-it,colloquial,rare,13,0.7209141274238228,0.6371018005540166,0.8213296398891967,76.0
gemma-2-2b-it,textbook,common,15,0.7369850611136259,0.6663450656405613,0.8011685151652331,188.0
gemma-2-2b-it,textbook,rare,15,0.6875,0.25,1.0,8.0
gemma-2-2b-it,patient,common,15,0.7472865595942519,0.7207224972829369,0.7721395966670691,910.0
gemma-2-2b-it,patient,rare,15,0.7292243767313019,0.6350415512465374,0.8268871191135734,76.0
gemma-2-2b-it,clinical_note,common,15,0.6534234995773458,0.6270625528317837,0.6800623113150586,910.0
gemma-2-2b-it,clinical_note,rare,15,0.7063711911357341,0.6010907202216067,0.7998788088642659,76.0
gemma-2-2b-it,colloquial,common,15,0.6733051563820793,0.6456103127641589,0.7019118463953629,910.0
gemma-2-2b-it,colloquial,rare,15,0.7825484764542936,0.7014716066481995,0.867053324099723,76.0
gemma-2-2b-it,textbook,common,17,0.711634223630602,0.6484806473517429,0.770603214124038,188.0
gemma-2-2b-it,textbook,rare,17,0.8125,0.75,1.0,8.0
gemma-2-2b-it,patient,common,17,0.7458519502475545,0.7190079700519263,0.7716674314696294,910.0
gemma-2-2b-it,patient,rare,17,0.760387811634349,0.680713296398892,0.8490824099722992,76.0
gemma-2-2b-it,clinical_note,common,17,0.6704987320371936,0.6446861490158193,0.697577587247917,910.0
gemma-2-2b-it,clinical_note,rare,17,0.7001385041551246,0.5989958448753463,0.7908760387811634,76.0
gemma-2-2b-it,colloquial,common,17,0.6958386668276778,0.6659935998067866,0.7232409129332208,910.0
gemma-2-2b-it,colloquial,rare,17,0.8365650969529086,0.7541551246537396,0.912084487534626,76.0
qwen2.5-7b-instruct,textbook,common,1,0.7057492077863287,0.6373783386147578,0.7690216161158896,188.0
qwen2.5-7b-instruct,textbook,rare,1,0.5625,0.1875,0.9375,8.0
qwen2.5-7b-instruct,patient,common,1,0.6093950006037918,0.5810419031517932,0.6397373505615265,910.0
qwen2.5-7b-instruct,patient,rare,1,0.6703601108033241,0.5574445983379501,0.7763504155124653,76.0
qwen2.5-7b-instruct,clinical_note,common,1,0.4847965221591594,0.4549196956889265,0.5149337036589784,910.0
qwen2.5-7b-instruct,clinical_note,rare,1,0.4861495844875346,0.3746364265927978,0.6032029085872577,76.0
qwen2.5-7b-instruct,colloquial,common,1,0.5457360222195387,0.5160126796280643,0.5759663084168579,910.0
qwen2.5-7b-instruct,colloquial,rare,1,0.5595567867036012,0.4605090027700831,0.6530470914127423,76.0
qwen2.5-7b-instruct,textbook,common,3,0.731326392032594,0.6683935038478949,0.7924683114531462,188.0
qwen2.5-7b-instruct,textbook,rare,3,0.625,0.25,1.0,8.0
qwen2.5-7b-instruct,patient,common,3,0.6387151310228233,0.6073884796522159,0.6704319526627218,910.0
qwen2.5-7b-instruct,patient,rare,3,0.6454293628808865,0.5103704986149585,0.7653047091412741,76.0
qwen2.5-7b-instruct,clinical_note,common,3,0.5603477840840478,0.5309369641347664,0.5867557058326288,910.0
qwen2.5-7b-instruct,clinical_note,rare,3,0.5505540166204986,0.4487534626038781,0.653064404432133,76.0
qwen2.5-7b-instruct,colloquial,common,3,0.5511846395362878,0.5214980074870186,0.580578311798092,910.0
qwen2.5-7b-instruct,colloquial,rare,3,0.5630193905817175,0.4431786703601107,0.6807479224376731,76.0
qwen2.5-7b-instruct,textbook,common,5,0.7122000905387053,0.6438603440470803,0.7754979628791308,188.0
qwen2.5-7b-instruct,textbook,rare,5,0.75,0.25,1.0,8.0
qwen2.5-7b-instruct,patient,common,5,0.6761550537374713,0.6472640985388237,0.7041178601618162,910.0
qwen2.5-7b-instruct,patient,rare,5,0.7167590027700831,0.6107860110803325,0.8186461218836564,76.0
qwen2.5-7b-instruct,clinical_note,common,5,0.5324912450187176,0.5053074507909673,0.562032483999517,910.0
qwen2.5-7b-instruct,clinical_note,rare,5,0.5373961218836565,0.4300207756232687,0.640599030470914,76.0
qwen2.5-7b-instruct,colloquial,common,5,0.5175027170631565,0.4880019321338002,0.5463093829247676,910.0
qwen2.5-7b-instruct,colloquial,rare,5,0.5872576177285319,0.4826177285318559,0.7077735457063711,76.0
qwen2.5-7b-instruct,textbook,common,7,0.7064282480760524,0.6331994114984156,0.7712765957446808,188.0
qwen2.5-7b-instruct,textbook,rare,7,0.6875,0.25,1.0,8.0
qwen2.5-7b-instruct,patient,common,7,0.6321507064364208,0.6073359497645212,0.6565807269653424,910.0
qwen2.5-7b-instruct,patient,rare,7,0.6295013850415512,0.5367036011080333,0.7271468144044321,76.0
qwen2.5-7b-instruct,clinical_note,common,7,0.5343026204564667,0.5090150947953146,0.560156865112909,910.0
qwen2.5-7b-instruct,clinical_note,rare,7,0.5076177285318559,0.4071675900277008,0.6060076177285317,76.0
qwen2.5-7b-instruct,colloquial,common,7,0.4747880690737833,0.4479915469146238,0.5018530370728173,910.0
qwen2.5-7b-instruct,colloquial,rare,7,0.5325484764542936,0.4369459833795013,0.6357340720221606,76.0
qwen2.5-7b-instruct,textbook,common,9,0.738229968311453,0.6721310547759166,0.7995982344952467,188.0
qwen2.5-7b-instruct,textbook,rare,9,0.5,0.1875,0.8125,8.0
qwen2.5-7b-instruct,patient,common,9,0.6105108078734452,0.5839142615626132,0.6352773819587006,910.0
qwen2.5-7b-instruct,patient,rare,9,0.5927977839335179,0.5145256232686981,0.67797783933518,76.0
qwen2.5-7b-instruct,clinical_note,common,9,0.5433933099867165,0.5194056273396932,0.5677925371331964,910.0
