model,layer,register,auroc_heldout,mlp_auroc_heldout,diffmeans_auroc_heldout,mixedtrain_auroc_heldout,auroc_allfacts,n_heldout
gemma-2-2b-it,1,textbook,0.6525000000000001,0.6325000000000001,0.6,0.5774999999999999,0.9511,40
gemma-2-2b-it,1,patient,0.665,0.7125,0.7124999999999999,0.5475,0.5478000000000001,40
gemma-2-2b-it,1,clinical_note,0.5775000000000001,0.52,0.5449999999999999,0.49,0.5547,40
gemma-2-2b-it,1,colloquial,0.5349999999999999,0.58,0.5825,0.5175,0.5366,40
gemma-2-2b-it,3,textbook,0.645,0.565,0.5975,0.6375,0.9375,40
gemma-2-2b-it,3,patient,0.6050000000000001,0.7150000000000001,0.7100000000000001,0.6300000000000001,0.6027,40
gemma-2-2b-it,3,clinical_note,0.4624999999999999,0.5375000000000001,0.5225,0.5,0.5529999999999999,40
gemma-2-2b-it,3,colloquial,0.5025000000000001,0.515,0.495,0.5575,0.5836,40
gemma-2-2b-it,5,textbook,0.59,0.6275,0.6075,0.595,0.9213,40
gemma-2-2b-it,5,patient,0.615,0.6499999999999999,0.7075,0.5700000000000001,0.6507000000000001,40
gemma-2-2b-it,5,clinical_note,0.4275,0.5425,0.52,0.485,0.5448000000000001,40
gemma-2-2b-it,5,colloquial,0.5375,0.6124999999999999,0.485,0.4924999999999999,0.5706,40
gemma-2-2b-it,7,textbook,0.615,0.5774999999999999,0.7024999999999999,0.585,0.9271,40
gemma-2-2b-it,7,patient,0.515,0.7849999999999999,0.7775,0.5725,0.6201,40
gemma-2-2b-it,7,clinical_note,0.475,0.48,0.53,0.5125,0.5254000000000001,40
gemma-2-2b-it,7,colloquial,0.495,0.5675,0.5375,0.5275000000000001,0.5721,40
gemma-2-2b-it,9,textbook,0.6649999999999999,0.72,0.7025,0.695,0.9332,40
gemma-2-2b-it,9,patient,0.6074999999999999,0.765,0.7000000000000001,0.5825,0.6512,40
gemma-2-2b-it,9,clinical_note,0.435,0.5425,0.53,0.4825,0.4976,40
gemma-2-2b-it,9,colloquial,0.485,0.6275,0.5950000000000001,0.58,0.5387000000000001,40
gemma-2-2b-it,11,textbook,0.7125,0.7024999999999999,0.7274999999999999,0.6649999999999999,0.9394,40
gemma-2-2b-it,11,patient,0.63,0.6225,0.6925,0.645,0.6555,40
gemma-2-2b-it,11,clinical_note,0.4525,0.5900000000000001,0.54,0.4424999999999999,0.5498,40
gemma-2-2b-it,11,colloquial,0.4625000000000001,0.5375000000000001,0.5825,0.5325,0.5412000000000001,40
gemma-2-2b-it,13,textbook,0.6925000000000001,0.6749999999999999,0.7225000000000001,0.6475,0.9464,40
gemma-2-2b-it,13,patient,0.655,0.7575000000000001,0.7000000000000001,0.655,0.6438,40
gemma-2-2b-it,13,clinical_note,0.5025,0.5149999999999999,0.59,0.485,0.5660000000000001,40
gemma-2-2b-it,13,colloquial,0.5025,0.5075000000000001,0.61,0.61,0.5266,40
gemma-2-2b-it,15,textbook,0.6925,0.725,0.7349999999999999,0.7575,0.9436,40
gemma-2-2b-it,15,patient,0.685,0.7025,0.7775,0.6825,0.6814000000000001,40
gemma-2-2b-it,15,clinical_note,0.53,0.6124999999999999,0.64,0.6224999999999999,0.6101,40
gemma-2-2b-it,15,colloquial,0.5275,0.575,0.6174999999999999,0.655,0.5598000000000001,40
gemma-2-2b-it,17,textbook,0.7475,0.7024999999999999,0.6900000000000001,0.7424999999999999,0.9568,40
gemma-2-2b-it,17,patient,0.715,0.7775000000000001,0.7625,0.5775,0.7,40
gemma-2-2b-it,17,clinical_note,0.6325000000000001,0.635,0.665,0.625,0.6646000000000001,40
gemma-2-2b-it,17,colloquial,0.63,0.665,0.63,0.625,0.6388,40
gemma-3-4b-it,1,textbook,0.625,0.655,0.655,0.685,0.9187,40
gemma-3-4b-it,1,patient,0.51,0.39,0.6325000000000001,0.605,0.5536,40
gemma-3-4b-it,1,clinical_note,0.4425,0.465,0.4574999999999999,0.485,0.5015000000000001,40
gemma-3-4b-it,1,colloquial,0.5725,0.6000000000000001,0.58,0.5599999999999999,0.5272999999999999,40
gemma-3-4b-it,3,textbook,0.685,0.6975,0.5725,0.6025,0.9437,40
gemma-3-4b-it,3,patient,0.605,0.675,0.6775,0.5900000000000001,0.6225,40
gemma-3-4b-it,3,clinical_note,0.51,0.5925,0.4875,0.5425,0.6063000000000001,40
gemma-3-4b-it,3,colloquial,0.4675,0.5675,0.5075000000000001,0.4749999999999999,0.5414000000000001,40
gemma-3-4b-it,5,textbook,0.6799999999999999,0.6425000000000001,0.5425,0.61,0.9571,40
gemma-3-4b-it,5,patient,0.6225,0.66,0.6074999999999999,0.5775,0.6537,40
gemma-3-4b-it,5,clinical_note,0.45,0.495,0.5825,0.465,0.5978,40
gemma-3-4b-it,5,colloquial,0.5449999999999999,0.6275000000000001,0.47,0.5800000000000001,0.5776000000000001,40
gemma-3-4b-it,7,textbook,0.7100000000000001,0.7275,0.5650000000000001,0.6775,0.9408999999999998,40
gemma-3-4b-it,7,patient,0.725,0.5800000000000001,0.6225,0.615,0.632,40
gemma-3-4b-it,7,clinical_note,0.4725,0.5325,0.52,0.505,0.5252,40
gemma-3-4b-it,7,colloquial,0.61,0.5675,0.4325,0.5625,0.5512999999999999,40
gemma-3-4b-it,9,textbook,0.6725,0.675,0.48,0.74,0.9286,40
gemma-3-4b-it,9,patient,0.66,0.66,0.4525,0.675,0.6305000000000001,40
gemma-3-4b-it,9,clinical_note,0.4375,0.5025000000000001,0.5475,0.5449999999999999,0.5445,40
gemma-3-4b-it,9,colloquial,0.5175000000000001,0.56,0.4575,0.6175,0.5697000000000001,40
gemma-3-4b-it,11,textbook,0.6875,0.6950000000000001,0.5850000000000001,0.7175,0.9215,40
gemma-3-4b-it,11,patient,0.7075,0.6575,0.595,0.685,0.655,40
gemma-3-4b-it,11,clinical_note,0.4775,0.5425,0.4975,0.4399999999999999,0.553,40
gemma-3-4b-it,11,colloquial,0.4825,0.605,0.4875,0.5625,0.5734,40
gemma-3-4b-it,13,textbook,0.6649999999999999,0.635,0.5825,0.6425000000000001,0.9273,40
gemma-3-4b-it,13,patient,0.7050000000000001,0.6900000000000001,0.6375,0.6900000000000001,0.6531999999999999,40
gemma-3-4b-it,13,clinical_note,0.4649999999999999,0.585,0.4775,0.455,0.5762,40
gemma-3-4b-it,13,colloquial,0.5175000000000001,0.5349999999999999,0.5175000000000001,0.57,0.5772999999999999,40
gemma-3-4b-it,15,textbook,0.6475,0.7124999999999999,0.5325,0.63,0.9279,40
gemma-3-4b-it,15,patient,0.7575000000000001,0.685,0.53,0.7274999999999999,0.6756,40
gemma-3-4b-it,15,clinical_note,0.435,0.54,0.4824999999999999,0.495,0.5800000000000001,40
gemma-3-4b-it,15,colloquial,0.5125,0.575,0.445,0.51,0.5877000000000001,40
gemma-3-4b-it,17,textbook,0.72,0.73,0.6975,0.6975,0.9421,40
gemma-3-4b-it,17,patient,0.6675,0.7375,0.6375000000000001,0.6975,0.6736,40
gemma-3-4b-it,17,clinical_note,0.435,0.6074999999999999,0.5650000000000001,0.475,0.6235999999999999,40
gemma-3-4b-it,17,colloquial,0.4675,0.7074999999999999,0.53,0.6025,0.5825,40
gemma-3-4b-it,19,textbook,0.615,0.665,0.67,0.595,0.9266,40
gemma-3-4b-it,19,patient,0.74,0.64,0.7175,0.7375,0.6923,40
gemma-3-4b-it,19,clinical_note,0.4075,0.52,0.55,0.5275,0.5857,40
gemma-3-4b-it,19,colloquial,0.46,0.5399999999999999,0.6525000000000001,0.6675000000000001,0.5728,40
gemma-3-4b-it,21,textbook,0.5349999999999999,0.6475,0.6724999999999999,0.5425,0.9207,40
gemma-3-4b-it,21,patient,0.6575,0.6199999999999999,0.6874999999999999,0.6725,0.6752,40
gemma-3-4b-it,21,clinical_note,0.5025000000000001,0.4775,0.55,0.5275000000000001,0.6181,40
gemma-3-4b-it,21,colloquial,0.44,0.5425,0.6425,0.65,0.6059,40
gemma-3-4b-it,23,textbook,0.52,0.515,0.685,0.5499999999999999,0.9007,40
gemma-3-4b-it,23,patient,0.5025,0.5575000000000001,0.665,0.66,0.5769,40
gemma-3-4b-it,23,clinical_note,0.4375,0.445,0.5925,0.505,0.5796,40
gemma-3-4b-it,23,colloquial,0.395,0.4524999999999999,0.6799999999999999,0.625,0.5168999999999999,40
gemma-3-4b-it,25,textbook,0.5425,0.605,0.6875,0.55,0.9037000000000002,40
gemma-3-4b-it,25,patient,0.595,0.585,0.6974999999999999,0.6725,0.6069,40
gemma-3-4b-it,25,clinical_note,0.4775,0.51,0.5800000000000001,0.565,0.6060999999999999,40
gemma-3-4b-it,25,colloquial,0.4625,0.5874999999999999,0.655,0.695,0.5605,40
llama-3-8b-instruct,1,textbook,0.6974999999999999,0.57375,0.6074999999999999,0.7299999999999999,0.9228,40
llama-3-8b-instruct,1,patient,0.5275,0.7175,0.7374999999999999,0.495,0.5681,40
llama-3-8b-instruct,1,clinical_note,0.465,0.5025,0.5175,0.5925,0.416,40
llama-3-8b-instruct,1,colloquial,0.51,0.5375000000000001,0.5549999999999999,0.605,0.5008,40
llama-3-8b-instruct,3,textbook,0.7625000000000001,0.7175,0.6275,0.7075,0.9614,40
llama-3-8b-instruct,3,patient,0.56,0.7225000000000001,0.7324999999999999,0.635,0.6099000000000001,40
llama-3-8b-instruct,3,clinical_note,0.4674999999999999,0.5175000000000001,0.5375,0.61,0.4425999999999999,40
llama-3-8b-instruct,3,colloquial,0.61,0.635,0.575,0.5525,0.5390999999999999,40
llama-3-8b-instruct,5,textbook,0.7575000000000001,0.7649999999999999,0.6124999999999999,0.8075000000000001,0.9541,40
llama-3-8b-instruct,5,patient,0.6675,0.725,0.7125,0.6525000000000001,0.6111,40
llama-3-8b-instruct,5,clinical_note,0.3875,0.49,0.49,0.5775,0.4687,40
llama-3-8b-instruct,5,colloquial,0.61625,0.585,0.59,0.62,0.5338499999999999,40
llama-3-8b-instruct,7,textbook,0.7975,0.65,0.6275,0.77,0.9829,40
llama-3-8b-instruct,7,patient,0.605,0.6449999999999999,0.6875,0.6849999999999999,0.5637,40
llama-3-8b-instruct,7,clinical_note,0.48,0.51,0.4925,0.45,0.4736999999999999,40
llama-3-8b-instruct,7,colloquial,0.54,0.53,0.57,0.6224999999999999,0.5391999999999999,40
llama-3-8b-instruct,9,textbook,0.7100000000000001,0.6825,0.685,0.7350000000000001,0.9581,40
llama-3-8b-instruct,9,patient,0.5525,0.6774999999999999,0.685,0.635,0.6239,40
llama-3-8b-instruct,9,clinical_note,0.4875,0.5175,0.5425,0.495,0.5167,40
llama-3-8b-instruct,9,colloquial,0.565,0.5800000000000001,0.5775,0.6475000000000001,0.5710000000000001,40
llama-3-8b-instruct,11,textbook,0.7499999999999999,0.7250000000000001,0.6824999999999999,0.78,0.9532,40
