model,layer,register,auroc_heldout,mlp_auroc_heldout,diffmeans_auroc_heldout,mixedtrain_auroc_heldout,auroc_allfacts,n_heldout
gemma-2-2b-it,1,textbook,0.6950000000000001,0.7275,0.6379,0.7019,0.944692,200
gemma-2-2b-it,1,patient,0.6279,0.6980999999999999,0.6148000000000001,0.695,0.6686679999999999,200
gemma-2-2b-it,1,clinical_note,0.524,0.5536,0.5248,0.5616,0.562832,200
gemma-2-2b-it,1,colloquial,0.5521,0.6910000000000001,0.6272,0.6216000000000002,0.593116,200
gemma-2-2b-it,3,textbook,0.7334,0.7179,0.6446000000000001,0.6809000000000001,0.94384,200
gemma-2-2b-it,3,patient,0.5943000000000002,0.6352000000000001,0.6245,0.6615000000000001,0.6311279999999999,200
gemma-2-2b-it,3,clinical_note,0.5247,0.5347000000000001,0.5204,0.5639,0.5500479999999999,200
gemma-2-2b-it,3,colloquial,0.5503,0.6404000000000001,0.6108,0.6419,0.56096,200
gemma-2-2b-it,5,textbook,0.685,0.7416,0.6476999999999999,0.7233999999999999,0.93794,200
gemma-2-2b-it,5,patient,0.6244999999999999,0.7032,0.6203000000000001,0.7062999999999999,0.639716,200
gemma-2-2b-it,5,clinical_note,0.4935999999999999,0.5678000000000001,0.5344,0.5753999999999999,0.5291600000000001,200
gemma-2-2b-it,5,colloquial,0.5539999999999999,0.6751000000000001,0.5938,0.6635,0.575924,200
gemma-2-2b-it,7,textbook,0.6849000000000001,0.7260000000000001,0.6675,0.6855000000000001,0.934728,200
gemma-2-2b-it,7,patient,0.6311,0.7255999999999999,0.6693,0.7278,0.636852,200
gemma-2-2b-it,7,clinical_note,0.4858,0.5781000000000001,0.5389999999999999,0.5647,0.543552,200
gemma-2-2b-it,7,colloquial,0.5804,0.6189,0.6318999999999999,0.6690999999999999,0.589656,200
gemma-2-2b-it,9,textbook,0.7041,0.7558,0.7293000000000001,0.6911,0.928964,200
gemma-2-2b-it,9,patient,0.6645,0.7524500000000001,0.7263,0.7612,0.695504,200
gemma-2-2b-it,9,clinical_note,0.5015,0.6191,0.576,0.5813,0.53318,200
gemma-2-2b-it,9,colloquial,0.6025,0.6873,0.672,0.7088,0.637416,200
gemma-2-2b-it,11,textbook,0.6935,0.7694,0.7485,0.7155,0.929812,200
gemma-2-2b-it,11,patient,0.6124,0.7444,0.7551,0.7444999999999999,0.663408,200
gemma-2-2b-it,11,clinical_note,0.5373,0.5858000000000001,0.5879,0.5853999999999999,0.567896,200
gemma-2-2b-it,11,colloquial,0.5966,0.6345000000000001,0.6603000000000001,0.6788,0.612628,200
gemma-2-2b-it,13,textbook,0.7095,0.7761,0.7444000000000002,0.7137,0.944108,200
gemma-2-2b-it,13,patient,0.6910000000000001,0.7686,0.7593000000000002,0.7724,0.7214640000000001,200
gemma-2-2b-it,13,clinical_note,0.567,0.6619000000000002,0.6429,0.6106,0.610856,200
gemma-2-2b-it,13,colloquial,0.6607000000000001,0.6627000000000001,0.6517999999999999,0.6486000000000001,0.670572,200
gemma-2-2b-it,15,textbook,0.7225,0.7570000000000001,0.7464000000000001,0.7222999999999999,0.945408,200
gemma-2-2b-it,15,patient,0.7142999999999999,0.7432000000000001,0.7415,0.747,0.7388920000000001,200
gemma-2-2b-it,15,clinical_note,0.5973,0.6751000000000001,0.6796,0.5857,0.651896,200
gemma-2-2b-it,15,colloquial,0.6377999999999999,0.6703,0.6398,0.6419,0.679236,200
gemma-2-2b-it,17,textbook,0.7139,0.7742,0.7172,0.6870999999999999,0.9455,200
gemma-2-2b-it,17,patient,0.7395999999999999,0.7891999999999999,0.6889,0.7089000000000001,0.752892,200
gemma-2-2b-it,17,clinical_note,0.6075,0.6415999999999998,0.6619999999999999,0.584,0.669468,200
gemma-2-2b-it,17,colloquial,0.6489000000000001,0.6893,0.6086,0.6315000000000001,0.7173720000000001,200
gemma-3-4b-it,1,textbook,0.7171000000000001,0.7228,0.5917000000000001,0.70345,0.952324,200
gemma-3-4b-it,1,patient,0.5995999999999999,0.7153999999999999,0.5899,0.6303,0.66756,200
gemma-3-4b-it,1,clinical_note,0.5034000000000001,0.5363,0.5376000000000001,0.6054999999999999,0.540172,200
gemma-3-4b-it,1,colloquial,0.5537000000000001,0.5959000000000001,0.6020999999999999,0.6336999999999999,0.570656,200
gemma-3-4b-it,3,textbook,0.6548,0.7092999999999999,0.6336999999999999,0.6748999999999998,0.9244,200
gemma-3-4b-it,3,patient,0.6235,0.6795,0.6303,0.7103999999999999,0.618464,200
gemma-3-4b-it,3,clinical_note,0.4873,0.5154000000000001,0.5430999999999999,0.5816,0.536996,200
gemma-3-4b-it,3,colloquial,0.6257,0.6245,0.613,0.6622000000000001,0.592714,200
gemma-3-4b-it,5,textbook,0.6682,0.7277,0.5873,0.6746000000000001,0.922752,200
gemma-3-4b-it,5,patient,0.6243,0.6867000000000001,0.5692,0.7040000000000001,0.670432,200
gemma-3-4b-it,5,clinical_note,0.4653,0.5873999999999999,0.5092,0.5636,0.529732,200
gemma-3-4b-it,5,colloquial,0.5324,0.6505,0.5665,0.6631,0.555088,200
gemma-3-4b-it,7,textbook,0.7495999999999999,0.7252000000000001,0.6232,0.6964999999999999,0.945268,200
gemma-3-4b-it,7,patient,0.67275,0.68845,0.5619,0.6927,0.680048,200
gemma-3-4b-it,7,clinical_note,0.5082,0.5469999999999999,0.4979,0.5626,0.561588,200
gemma-3-4b-it,7,colloquial,0.59325,0.66025,0.5357000000000001,0.655,0.606084,200
gemma-3-4b-it,9,textbook,0.7241,0.7744,0.565,0.7134,0.942704,200
gemma-3-4b-it,9,patient,0.6122,0.6928000000000001,0.4936,0.7015,0.6565439999999999,200
gemma-3-4b-it,9,clinical_note,0.485,0.5246999999999999,0.5268999999999999,0.5616,0.529328,200
gemma-3-4b-it,9,colloquial,0.5312,0.6376,0.5208,0.6255,0.569052,200
gemma-3-4b-it,11,textbook,0.7212999999999999,0.7613,0.6867000000000001,0.7218,0.943908,200
gemma-3-4b-it,11,patient,0.6489,0.7318,0.5144,0.7186,0.6672480000000001,200
gemma-3-4b-it,11,clinical_note,0.5183,0.5572000000000001,0.5415000000000001,0.5993999999999999,0.557416,200
gemma-3-4b-it,11,colloquial,0.548,0.6671999999999999,0.5284,0.6444000000000001,0.558848,200
gemma-3-4b-it,13,textbook,0.7143999999999999,0.7437,0.6238999999999999,0.7435999999999999,0.940244,200
gemma-3-4b-it,13,patient,0.7353000000000001,0.7056,0.5876,0.7361000000000001,0.7294399999999999,200
gemma-3-4b-it,13,clinical_note,0.4861,0.555,0.5250999999999999,0.6097,0.531448,200
gemma-3-4b-it,13,colloquial,0.5735,0.6376999999999999,0.5831999999999999,0.6726999999999999,0.6237039999999999,200
gemma-3-4b-it,15,textbook,0.7269000000000001,0.7529,0.6471,0.7498,0.938768,200
gemma-3-4b-it,15,patient,0.7022999999999999,0.7547,0.5672,0.7538,0.6889319999999999,200
gemma-3-4b-it,15,clinical_note,0.5206999999999999,0.6042000000000001,0.5631,0.647,0.572692,200
gemma-3-4b-it,15,colloquial,0.5693,0.6706000000000001,0.5366,0.6939,0.576184,200
gemma-3-4b-it,17,textbook,0.7255,0.7826,0.7477,0.7427,0.949064,200
gemma-3-4b-it,17,patient,0.6796,0.7537,0.6979,0.7259,0.6965399999999999,200
gemma-3-4b-it,17,clinical_note,0.6136000000000001,0.6678,0.6696,0.6414,0.66424,200
gemma-3-4b-it,17,colloquial,0.7008000000000001,0.6986000000000001,0.6375000000000001,0.7176,0.6742680000000001,200
gemma-3-4b-it,19,textbook,0.7332000000000001,0.7709,0.7433,0.7312,0.95708,200
gemma-3-4b-it,19,patient,0.711,0.7111,0.6895,0.7311,0.703848,200
gemma-3-4b-it,19,clinical_note,0.5624000000000001,0.6229000000000001,0.6602999999999999,0.6248999999999999,0.6463119999999999,200
gemma-3-4b-it,19,colloquial,0.6862,0.651,0.6391,0.7016,0.6614040000000001,200
gemma-3-4b-it,21,textbook,0.7218,0.7763,0.7333,0.7531000000000001,0.95014,200
gemma-3-4b-it,21,patient,0.7075,0.7309,0.6728,0.7152000000000001,0.7094720000000001,200
gemma-3-4b-it,21,clinical_note,0.6117,0.6576,0.647,0.5996999999999999,0.6573000000000001,200
gemma-3-4b-it,21,colloquial,0.6234,0.6702,0.6355000000000001,0.6716,0.6355999999999999,200
gemma-3-4b-it,23,textbook,0.7488,0.7593,0.7134,0.7527,0.95366,200
gemma-3-4b-it,23,patient,0.6812,0.6871,0.6568,0.7142000000000001,0.6795840000000001,200
gemma-3-4b-it,23,clinical_note,0.6091,0.5514,0.6366,0.6642999999999999,0.6674720000000001,200
gemma-3-4b-it,23,colloquial,0.6258999999999999,0.6123999999999999,0.6246000000000002,0.6783,0.637352,200
gemma-3-4b-it,25,textbook,0.7682000000000001,0.7740000000000001,0.732,0.7388,0.963248,200
gemma-3-4b-it,25,patient,0.6798,0.6943,0.6766000000000001,0.7502999999999999,0.691812,200
gemma-3-4b-it,25,clinical_note,0.5184,0.6265999999999999,0.6479,0.6407,0.596212,200
gemma-3-4b-it,25,colloquial,0.6216999999999999,0.6299,0.6192,0.6312,0.630512,200
llama-3-8b-instruct,1,textbook,0.7066000000000001,0.6765,0.655,0.7059000000000002,0.93442,200
llama-3-8b-instruct,1,patient,0.6672,0.7177000000000001,0.6353,0.7103,0.6922240000000001,200
llama-3-8b-instruct,1,clinical_note,0.3915,0.6044999999999999,0.5695,0.6286,0.420628,200
llama-3-8b-instruct,1,colloquial,0.6529,0.59,0.6126,0.6788000000000001,0.6471899999999999,200
llama-3-8b-instruct,3,textbook,0.7039000000000001,0.6851000000000002,0.6527000000000001,0.7175999999999999,0.945116,200
llama-3-8b-instruct,3,patient,0.6903999999999999,0.7682,0.6384,0.7139,0.6910259999999999,200
