model,layer,register,training,auroc,ci_lo,ci_hi,n
gemma-2-2b-it,15,textbook,textbook_only,0.7225,0.6563975,0.7845099999999999,200
gemma-2-2b-it,15,textbook,mixed_register,0.7222999999999999,0.6621825,0.7791175,200
gemma-2-2b-it,15,patient,textbook_only,0.7142999999999999,0.664175,0.7678025000000002,200
gemma-2-2b-it,15,patient,mixed_register,0.747,0.68849,0.8027025,200
gemma-2-2b-it,15,clinical_note,textbook_only,0.5973,0.5429900000000001,0.652205,200
gemma-2-2b-it,15,clinical_note,mixed_register,0.5857,0.5218925,0.6454225,200
gemma-2-2b-it,15,colloquial,textbook_only,0.6377999999999999,0.5827975,0.7020075,200
gemma-2-2b-it,15,colloquial,mixed_register,0.6419,0.5833974999999999,0.7003199999999999,200
gemma-3-4b-it,25,textbook,textbook_only,0.7682000000000001,0.7055925,0.8307225,200
gemma-3-4b-it,25,textbook,mixed_register,0.7388,0.68447,0.7975075,200
gemma-3-4b-it,25,patient,textbook_only,0.6798,0.6114924999999999,0.7469174999999999,200
gemma-3-4b-it,25,patient,mixed_register,0.7502999999999999,0.6916725,0.8108025,200
gemma-3-4b-it,25,clinical_note,textbook_only,0.5184,0.4542949999999999,0.5731175,200
gemma-3-4b-it,25,clinical_note,mixed_register,0.6407,0.5752,0.7030025,200
gemma-3-4b-it,25,colloquial,textbook_only,0.6216999999999999,0.5615850000000001,0.6828299999999999,200
gemma-3-4b-it,25,colloquial,mixed_register,0.6312,0.5522,0.7077025,200
llama-3-8b-instruct,29,textbook,textbook_only,0.8075,0.752295,0.85963,200
llama-3-8b-instruct,29,textbook,mixed_register,0.7740000000000001,0.7125975,0.8312050000000001,200
llama-3-8b-instruct,29,patient,textbook_only,0.70595,0.65142875,0.7620325,200
llama-3-8b-instruct,29,patient,mixed_register,0.7496,0.699595,0.8021075,200
llama-3-8b-instruct,29,clinical_note,textbook_only,0.5920000000000001,0.5358,0.6499050000000001,200
llama-3-8b-instruct,29,clinical_note,mixed_register,0.7189000000000001,0.6552749999999999,0.77542,200
llama-3-8b-instruct,29,colloquial,textbook_only,0.6792,0.6260950000000001,0.7360074999999999,200
llama-3-8b-instruct,29,colloquial,mixed_register,0.7072999999999999,0.6484850000000001,0.7734025000000001,200
qwen2.5-7b-instruct,23,textbook,textbook_only,0.7886,0.7293925,0.84471,200
qwen2.5-7b-instruct,23,textbook,mixed_register,0.7637,0.6972825,0.8227224999999999,200
qwen2.5-7b-instruct,23,patient,textbook_only,0.7049000000000001,0.6540825,0.7630025,200
qwen2.5-7b-instruct,23,patient,mixed_register,0.711,0.6450925,0.7723224999999999,200
qwen2.5-7b-instruct,23,clinical_note,textbook_only,0.6194,0.5492900000000001,0.6850025000000001,200
qwen2.5-7b-instruct,23,clinical_note,mixed_register,0.6469,0.5793874999999999,0.7141149999999999,200
qwen2.5-7b-instruct,23,colloquial,textbook_only,0.6890999999999999,0.6262924999999999,0.7596175000000001,200
qwen2.5-7b-instruct,23,colloquial,mixed_register,0.6719999999999999,0.6043325,0.7465224999999999,200
