model,register,probe,layer,auroc,ci_lo,ci_hi,n
gemma-2-2b-it,textbook,logistic,17,0.7475,0.6325,0.855,40
gemma-2-2b-it,textbook,mlp,15,0.725,0.5573125000000001,0.875,40
gemma-2-2b-it,textbook,diff_means,15,0.7349999999999999,0.597375,0.875,40
gemma-2-2b-it,patient,logistic,17,0.715,0.5999375,0.845,40
gemma-2-2b-it,patient,mlp,7,0.7849999999999999,0.6975,0.8925,40
gemma-2-2b-it,patient,diff_means,7,0.7775,0.6775,0.8875,40
gemma-2-2b-it,clinical_note,logistic,17,0.6325000000000001,0.4925,0.7725,40
gemma-2-2b-it,clinical_note,mlp,17,0.635,0.4973124999999999,0.7749999999999999,40
gemma-2-2b-it,clinical_note,diff_means,17,0.665,0.5324375,0.8024999999999999,40
gemma-2-2b-it,colloquial,logistic,17,0.63,0.5299375000000001,0.735,40
gemma-2-2b-it,colloquial,mlp,17,0.665,0.525,0.7950625,40
gemma-2-2b-it,colloquial,diff_means,17,0.63,0.48,0.7650000000000001,40
gemma-3-4b-it,textbook,logistic,17,0.72,0.54,0.8775625,40
gemma-3-4b-it,textbook,mlp,17,0.73,0.5849375,0.8525,40
gemma-3-4b-it,textbook,diff_means,17,0.6975,0.56,0.82,40
gemma-3-4b-it,patient,logistic,15,0.7575000000000001,0.6375000000000001,0.8800625,40
gemma-3-4b-it,patient,mlp,17,0.7375,0.615,0.847625,40
gemma-3-4b-it,patient,diff_means,19,0.7175,0.6325000000000001,0.8350624999999999,40
gemma-3-4b-it,clinical_note,logistic,3,0.51,0.4049999999999999,0.6225625,40
gemma-3-4b-it,clinical_note,mlp,17,0.6074999999999999,0.49,0.7274999999999999,40
gemma-3-4b-it,clinical_note,diff_means,23,0.5925,0.4199374999999999,0.7324999999999999,40
gemma-3-4b-it,colloquial,logistic,7,0.61,0.5099999999999999,0.7275,40
gemma-3-4b-it,colloquial,mlp,17,0.7074999999999999,0.5449999999999999,0.845,40
gemma-3-4b-it,colloquial,diff_means,23,0.6799999999999999,0.53,0.8225625,40
llama-3-8b-instruct,textbook,logistic,7,0.7975,0.6325,0.93,40
llama-3-8b-instruct,textbook,mlp,15,0.905,0.8024375,0.975,40
llama-3-8b-instruct,textbook,diff_means,15,0.88,0.775,0.965,40
llama-3-8b-instruct,patient,logistic,11,0.74,0.62,0.8624999999999999,40
llama-3-8b-instruct,patient,mlp,19,0.8,0.695,0.905125,40
llama-3-8b-instruct,patient,diff_means,15,0.795,0.7049375,0.9,40
llama-3-8b-instruct,clinical_note,logistic,13,0.5525,0.48,0.6375,40
llama-3-8b-instruct,clinical_note,mlp,15,0.7374999999999999,0.5749375,0.8724999999999999,40
llama-3-8b-instruct,clinical_note,diff_means,17,0.735,0.56,0.872625,40
llama-3-8b-instruct,colloquial,logistic,5,0.61625,0.45734375,0.7675625,40
llama-3-8b-instruct,colloquial,mlp,23,0.6825000000000001,0.5575,0.8125625,40
llama-3-8b-instruct,colloquial,diff_means,29,0.6799999999999999,0.5549999999999999,0.8075,40
qwen2.5-7b-instruct,textbook,logistic,19,0.8,0.6199375,0.935,40
qwen2.5-7b-instruct,textbook,mlp,21,0.855,0.7125,0.96,40
qwen2.5-7b-instruct,textbook,diff_means,21,0.855,0.7374375000000001,0.9525,40
qwen2.5-7b-instruct,patient,logistic,19,0.8049999999999999,0.6775,0.9175625,40
qwen2.5-7b-instruct,patient,mlp,23,0.8725,0.7723749999999999,0.9625,40
qwen2.5-7b-instruct,patient,diff_means,21,0.8525,0.7325,0.945,40
qwen2.5-7b-instruct,clinical_note,logistic,19,0.6375,0.5149375,0.765,40
qwen2.5-7b-instruct,clinical_note,mlp,21,0.7050000000000001,0.5675,0.8324999999999999,40
qwen2.5-7b-instruct,clinical_note,diff_means,21,0.7275,0.5875,0.86,40
qwen2.5-7b-instruct,colloquial,logistic,27,0.7,0.5549375,0.8375625,40
qwen2.5-7b-instruct,colloquial,mlp,23,0.77875,0.6198749999999998,0.91878125,40
qwen2.5-7b-instruct,colloquial,diff_means,19,0.7725,0.6150000000000001,0.8975,40
