model,register,probe,layer,auroc,ci_lo,ci_hi,n
gemma-2-2b-it,textbook,logistic,3,0.7334,0.665795,0.7904,200
gemma-2-2b-it,textbook,mlp,13,0.7761,0.72087,0.8329099999999999,200
gemma-2-2b-it,textbook,diff_means,11,0.7485,0.694695,0.7978025,200
gemma-2-2b-it,patient,logistic,17,0.7395999999999999,0.6795924999999999,0.7965125000000001,200
gemma-2-2b-it,patient,mlp,17,0.7891999999999999,0.7313975,0.8473099999999999,200
gemma-2-2b-it,patient,diff_means,13,0.7593000000000002,0.7058925,0.8128299999999999,200
gemma-2-2b-it,clinical_note,logistic,17,0.6075,0.547595,0.6693025,200
gemma-2-2b-it,clinical_note,mlp,15,0.6751000000000001,0.6199,0.737405,200
gemma-2-2b-it,clinical_note,diff_means,15,0.6796,0.6183900000000001,0.7403025,200
gemma-2-2b-it,colloquial,logistic,13,0.6607000000000001,0.6091949999999999,0.7161025,200
gemma-2-2b-it,colloquial,mlp,1,0.6910000000000001,0.6395,0.7476524999999999,200
gemma-2-2b-it,colloquial,diff_means,9,0.672,0.6211975,0.7242325000000001,200
gemma-3-4b-it,textbook,logistic,25,0.7682000000000001,0.7055925,0.8307225,200
gemma-3-4b-it,textbook,mlp,17,0.7826,0.7232949999999998,0.8371075,200
gemma-3-4b-it,textbook,diff_means,17,0.7477,0.691595,0.8048025,200
gemma-3-4b-it,patient,logistic,13,0.7353000000000001,0.683295,0.7876099999999999,200
gemma-3-4b-it,patient,mlp,15,0.7547,0.694585,0.8140625,200
gemma-3-4b-it,patient,diff_means,17,0.6979,0.6352875,0.761515,200
gemma-3-4b-it,clinical_note,logistic,17,0.6136000000000001,0.561085,0.6706050000000001,200
gemma-3-4b-it,clinical_note,mlp,17,0.6678,0.6093000000000001,0.724555,200
gemma-3-4b-it,clinical_note,diff_means,17,0.6696,0.6106875,0.7287025,200
gemma-3-4b-it,colloquial,logistic,17,0.7008000000000001,0.6501975000000001,0.7595025000000001,200
gemma-3-4b-it,colloquial,mlp,17,0.6986000000000001,0.643795,0.7576025000000002,200
gemma-3-4b-it,colloquial,diff_means,19,0.6391,0.587,0.6975125000000001,200
llama-3-8b-instruct,textbook,logistic,29,0.8075,0.752295,0.85963,200
llama-3-8b-instruct,textbook,mlp,15,0.8359,0.78098625,0.8867025000000001,200
llama-3-8b-instruct,textbook,diff_means,15,0.8301,0.7746000000000001,0.881705,200
llama-3-8b-instruct,patient,logistic,23,0.7306,0.675075,0.7824025,200
llama-3-8b-instruct,patient,mlp,3,0.7682,0.7152000000000001,0.8182075,200
llama-3-8b-instruct,patient,diff_means,11,0.7261,0.6818,0.771105,200
llama-3-8b-instruct,clinical_note,logistic,15,0.6811,0.6306825,0.736235,200
llama-3-8b-instruct,clinical_note,mlp,15,0.7571,0.7005925,0.8106099999999999,200
llama-3-8b-instruct,clinical_note,diff_means,15,0.7426,0.6843925,0.7987224999999999,200
llama-3-8b-instruct,colloquial,logistic,19,0.6993,0.6391875000000001,0.7614325,200
llama-3-8b-instruct,colloquial,mlp,15,0.7247,0.6608949999999999,0.78996125,200
llama-3-8b-instruct,colloquial,diff_means,15,0.718,0.6516725000000001,0.78291,200
qwen2.5-7b-instruct,textbook,logistic,17,0.8100999999999999,0.75776,0.8603200000000001,200
qwen2.5-7b-instruct,textbook,mlp,17,0.8150999999999999,0.7625875,0.8669100000000001,200
qwen2.5-7b-instruct,textbook,diff_means,17,0.7767,0.7264875,0.82941,200
qwen2.5-7b-instruct,patient,logistic,21,0.707,0.6504,0.7603274999999999,200
qwen2.5-7b-instruct,patient,mlp,23,0.7513000000000001,0.6960000000000002,0.808705,200
qwen2.5-7b-instruct,patient,diff_means,21,0.7191000000000001,0.6620975,0.78102,200
qwen2.5-7b-instruct,clinical_note,logistic,17,0.6232,0.5652925,0.6849275,200
qwen2.5-7b-instruct,clinical_note,mlp,25,0.7153999999999999,0.649685,0.7802074999999999,200
qwen2.5-7b-instruct,clinical_note,diff_means,23,0.7142000000000002,0.648585,0.7780999999999999,200
qwen2.5-7b-instruct,colloquial,logistic,21,0.7228,0.6623775000000001,0.7916150000000001,200
qwen2.5-7b-instruct,colloquial,mlp,23,0.7273999999999999,0.66107,0.79441,200
qwen2.5-7b-instruct,colloquial,diff_means,21,0.6763,0.6099800000000001,0.7497025,200
